2026-05-06 00:27:10,921 | INFO | robo_stur | Log iniciado em: /Users/gabrielfornydesouzamuniz/Documents/projetos/robo_stabia/logs/robo_stur_20260506_002710.log
2026-05-06 00:27:10,922 | INFO | robo_stur | Iniciando processamento do arquivo: /Users/gabrielfornydesouzamuniz/Downloads/2026-04-15_000000000455_d8266ce4caa4.xlsx
2026-05-06 00:27:12,026 | INFO | robo_stur | Aba/Origem carregada: Transações
2026-05-06 00:27:12,026 | INFO | robo_stur | Colunas encontradas: ['Transações', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10', 'Unnamed: 11', 'Unnamed: 12', 'Unnamed: 13', 'Unnamed: 14']
2026-05-06 00:27:12,072 | INFO | robo_stur | Total de transações com código após '*': 208
2026-05-06 00:27:14,167 | INFO | robo_stur | Acessando STUR: https://ww3.sturweb.com.br/STABIATURISMO/Login.aspx
2026-05-06 00:27:17,739 | WARNING | robo_stur | Usuário ativo em outra sessão. Desbloqueando usuário...
2026-05-06 00:27:20,831 | INFO | robo_stur | Usuário desbloqueado e login realizado.
2026-05-06 00:27:20,832 | INFO | robo_stur | Login finalizado com sucesso.
2026-05-06 00:27:20,832 | INFO | robo_stur | Acessando menu Operacional -> Vendas
2026-05-06 00:27:21,496 | INFO | robo_stur | Tela de vendas acessada.
2026-05-06 00:27:21,496 | INFO | robo_stur | Processando linha Excel 4 | Código Companhia: TRVL73
2026-05-06 00:27:44,258 | INFO | robo_stur | Buscando venda pelo código/localizador: TRVL73
