2026-05-06 00:07:04,194 | INFO | robo_stur | Log iniciado em: /Users/gabrielfornydesouzamuniz/Documents/projetos/robo_stabia/logs/robo_stur_20260506_000704.log
2026-05-06 00:07:04,194 | INFO | robo_stur | Iniciando processamento do arquivo: /Users/gabrielfornydesouzamuniz/Downloads/2026-04-15_000000000455_d8266ce4caa4.xlsx
2026-05-06 00:07:04,873 | INFO | robo_stur | Aba/Origem carregada: Transações
2026-05-06 00:07:04,873 | INFO | robo_stur | Colunas encontradas: ['Transações', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10', 'Unnamed: 11', 'Unnamed: 12', 'Unnamed: 13', 'Unnamed: 14']
2026-05-06 00:07:04,899 | INFO | robo_stur | Total de transações com código após '*': 208
2026-05-06 00:07:08,858 | INFO | robo_stur | Acessando STUR: https://ww3.sturweb.com.br/STABIATURISMO/Login.aspx
2026-05-06 00:07:13,267 | WARNING | robo_stur | Usuário ativo em outra sessão. Desbloqueando usuário...
2026-05-06 00:07:17,676 | INFO | robo_stur | Usuário desbloqueado e login realizado.
2026-05-06 00:07:17,676 | INFO | robo_stur | Login finalizado com sucesso.
2026-05-06 00:07:23,935 | INFO | robo_stur | Acessando menu Operacional -> Vendas
2026-05-06 00:07:28,054 | INFO | robo_stur | Tela de vendas acessada.
2026-05-06 00:07:36,498 | INFO | robo_stur | Processando linha Excel 4 | Código Companhia: TRVL73
2026-05-06 00:07:51,921 | INFO | robo_stur | Buscando venda pelo código/localizador: TRVL73
